
2022/06/30 (12:53:42) | ===> btop++ v.1.2.3
2022/06/30 (12:53:42) | ERROR: Failed to get size of terminal!

2024/07/28 (15:28:47) | ===> btop++ v.1.3.2
2024/07/28 (15:28:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (15:36:09) | ===> btop++ v.1.3.2
2024/07/28 (15:36:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (18:25:09) | ===> btop++ v.1.3.2
2024/07/28 (18:25:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/28 (18:27:56) | ===> btop++ v.1.3.2
2024/07/28 (18:27:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (14:54:08) | ===> btop++ v.1.3.2
2024/07/29 (14:54:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/30 (15:22:59) | ===> btop++ v.1.3.2
2024/07/30 (15:22:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/04 (20:27:06) | ===> btop++ v.1.3.2
2024/08/04 (20:27:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/06 (00:50:28) | ===> btop++ v.1.3.2
2024/08/06 (00:50:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/09 (10:48:03) | ===> btop++ v.1.3.2
2024/08/09 (10:48:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/13 (21:19:52) | ===> btop++ v.1.3.2
2024/08/13 (21:19:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/13 (21:24:07) | ===> btop++ v.1.3.2
2024/08/13 (21:24:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/13 (21:24:16) | ===> btop++ v.1.3.2
2024/08/13 (21:24:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/28 (21:18:02) | ===> btop++ v.1.3.2
2024/08/28 (21:18:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/07 (00:37:13) | ===> btop++ v.1.3.2
2024/09/07 (00:37:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/09 (01:29:33) | ===> btop++ v.1.3.2
2024/09/09 (01:29:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/09 (01:29:44) | ===> btop++ v.1.3.2
2024/09/09 (01:29:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/10 (18:26:06) | ===> btop++ v.1.3.2
2024/09/10 (18:26:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/10 (18:27:30) | ===> btop++ v.1.3.2
2024/09/10 (18:27:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/17 (23:14:17) | ===> btop++ v.1.3.2
2024/09/17 (23:14:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/24 (21:48:40) | ===> btop++ v.1.4.0
2024/09/24 (21:48:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
